acc,ClusterID,clustid_key,proteinname,genename
Q9BUJ2,115,115_Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1
P04066,116,116_P04066,Tissue alpha-L-fucosidase,FUCA1
P37802,116,116_P37802,Transgelin-2,TAGLN2
Q92947,116,116_Q92947,"""Glutaryl-CoA dehydrogenase, mitochondrial""",GCDH
O60684,117,117_O60684,Importin subunit alpha-7,KPNA6
P49321,117,117_P49321,Nuclear autoantigenic sperm protein,NASP
Q92733,117,117_Q92733,Proline-rich protein PRCC,PRCC
P53992,118,118_P53992,Protein transport protein Sec24C,SEC24C
Q15436,118,118_Q15436,Protein transport protein Sec23A,SEC23A
Q92620,118,118_Q92620,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,DHX38
Q16851,119,119_Q16851,UTP--glucose-1-phosphate uridylyltransferase,UGP2
Q92598,119,119_Q92598,Heat shock protein 105 kDa,HSPH1
Q9ULA0,119,119_Q9ULA0,Aspartyl aminopeptidase,DNPEP
O43396,12,12_O43396,Thioredoxin-like protein 1,TXNL1
P00558,12,12_P00558,Phosphoglycerate kinase 1,PGK1
P15121,12,12_P15121,Aldose reductase,AKR1B1
P30042,12,12_P30042,"""ES1 protein homolog, mitochondrial""",C21orf33
Q15257,12,12_Q15257,Serine/threonine-protein phosphatase 2A activator,PTPA
Q5VW32,12,12_Q5VW32,BRO1 domain-containing protein BROX,BROX
Q96C23,12,12_Q96C23,Aldose 1-epimerase,GALM
Q9HC38,12,12_Q9HC38,Glyoxalase domain-containing protein 4,GLOD4
O75791,120,120_O75791,GRB2-related adapter protein 2,GRAP2
Q8N1G4,120,120_Q8N1G4,Leucine-rich repeat-containing protein 47,LRRC47
Q8WXX5,120,120_Q8WXX5,DnaJ homolog subfamily C member 9,DNAJC9
O15533,121,121_O15533,Tapasin,TAPBP
Q8WWP7,121,121_Q8WWP7,GTPase IMAP family member 1,GIMAP1
Q93084,121,121_Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,ATP2A3
Q8WU90,122,122_Q8WU90,Zinc finger CCCH domain-containing protein 15,ZC3H15
Q9NR50,122,122_Q9NR50,Translation initiation factor eIF-2B subunit gamma,EIF2B3
Q9Y295,122,122_Q9Y295,Developmentally-regulated GTP-binding protein 1,DRG1
P49406,123,123_P49406,"""39S ribosomal protein L19, mitochondrial""",MRPL19
Q8TAE8,123,123_Q8TAE8,Growth arrest and DNA damage-inducible proteins-interacting protein 1,GADD45GIP1
Q9NYK5,123,123_Q9NYK5,"""39S ribosomal protein L39, mitochondrial""",MRPL39
Q14728,124,124_Q14728,Major facilitator superfamily domain-containing protein 10,MFSD10
Q8N766,124,124_Q8N766,ER membrane protein complex subunit 1,EMC1
Q9P0I2,124,124_Q9P0I2,ER membrane protein complex subunit 3,EMC3
Q14318,125,125_Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8
Q8N766,125,125_Q8N766,ER membrane protein complex subunit 1,EMC1
Q9P0I2,125,125_Q9P0I2,ER membrane protein complex subunit 3,EMC3
P40926,126,126_P40926,"""Malate dehydrogenase, mitochondrial""",MDH2
Q8N4P3,126,126_Q8N4P3,"""Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1""",HDDC3
Q96FJ0,126,126_Q96FJ0,AMSH-like protease,STAMBPL1
Q8IXH7,127,127_Q8IXH7,Negative elongation factor C/D,NELFCD
Q8WX92,127,127_Q8WX92,Negative elongation factor B,NELFB
Q9H3P2,127,127_Q9H3P2,Negative elongation factor A,NELFA
Q86U42,128,128_Q86U42,Polyadenylate-binding protein 2,PABPN1
Q99729,128,128_Q99729,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB
Q9ULV4,128,128_Q9ULV4,Coronin-1C,CORO1C
O75223,129,129_O75223,Gamma-glutamylcyclotransferase,GGCT
O75342,129,129_O75342,"""Arachidonate 12-lipoxygenase, 12R-type""",ALOX12B
Q6ZVX7,129,129_Q6ZVX7,F-box only protein 50,NCCRP1
P17980,13,13_P17980,26S protease regulatory subunit 6A,PSMC3
P43686,13,13_P43686,26S protease regulatory subunit 6B,PSMC4
P55036,13,13_P55036,26S proteasome non-ATPase regulatory subunit 4,PSMD4
P62195,13,13_P62195,26S protease regulatory subunit 8,PSMC5
P62333,13,13_P62333,26S protease regulatory subunit 10B,PSMC6
Q13200,13,13_Q13200,26S proteasome non-ATPase regulatory subunit 2,PSMD2
Q16401,13,13_Q16401,26S proteasome non-ATPase regulatory subunit 5,PSMD5
Q13838,130,130_Q13838,Spliceosome RNA helicase DDX39B,DDX39B
Q5JVF3,130,130_Q5JVF3,PCI domain-containing protein 2,PCID2
Q9BT09,130,130_Q9BT09,Protein canopy homolog 3,CNPY3
P17812,131,131_P17812,CTP synthase 1,CTPS1
Q53EL6,131,131_Q53EL6,Programmed cell death protein 4,PDCD4
Q9Y3F4,131,131_Q9Y3F4,Serine-threonine kinase receptor-associated protein,STRAP
Q52LJ0,132,132_Q52LJ0,Protein FAM98B,FAM98B
Q92499,132,132_Q92499,ATP-dependent RNA helicase DDX1,DDX1
Q96HE7,132,132_Q96HE7,ERO1-like protein alpha,ERO1L
P30520,133,133_P30520,Adenylosuccinate synthetase isozyme 2,ADSS
Q3LXA3,133,133_Q3LXA3,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),TKFC
Q9UHL4,133,133_Q9UHL4,Dipeptidyl peptidase 2,DPP7
Q15031,134,134_Q15031,"""Probable leucine--tRNA ligase, mitochondrial""",LARS2
Q16836,134,134_Q16836,"""Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial""",HADH
Q8NCW5,134,134_Q8NCW5,NAD(P)H-hydrate epimerase,NAXE
P32322,135,135_P32322,"""Pyrroline-5-carboxylate reductase 1, mitochondrial""",PYCR1
Q15942,135,135_Q15942,Zyxin,ZYX
Q9UPT8,135,135_Q9UPT8,Zinc finger CCCH domain-containing protein 4,ZC3H4
Q15477,136,136_Q15477,Helicase SKI2W,SKIV2L
Q5JSL3,136,136_Q5JSL3,Dedicator of cytokinesis protein 11,DOCK11
Q6PGP7,136,136_Q6PGP7,Tetratricopeptide repeat protein 37,TTC37
Q15036,137,137_Q15036,Sorting nexin-17,SNX17
Q99714,137,137_Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10
Q9Y2S7,137,137_Q9Y2S7,Polymerase delta-interacting protein 2,POLDIP2
P53634,138,138_P53634,Dipeptidyl peptidase 1,CTSC
Q01658,138,138_Q01658,Protein Dr1,DR1
Q14919,138,138_Q14919,Dr1-associated corepressor,DRAP1
Q07812,139,139_Q07812,Apoptosis regulator BAX,BAX
Q14761,139,139_Q14761,Protein tyrosine phosphatase receptor type C-associated protein,PTPRCAP
Q9Y394,139,139_Q9Y394,Dehydrogenase/reductase SDR family member 7,DHRS7
P19838,14,14_P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1
P50851,14,14_P50851,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA
Q00653,14,14_Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2
Q04206,14,14_Q04206,Transcription factor p65,RELA
Q04864,14,14_Q04864,Proto-oncogene c-Rel,REL
Q13557,14,14_Q13557,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D
Q8NF50,14,14_Q8NF50,Dedicator of cytokinesis protein 8,DOCK8
P35659,140,140_P35659,Protein DEK,DEK
Q08945,140,140_Q08945,FACT complex subunit SSRP1,SSRP1
Q14331,140,140_Q14331,Protein FRG1,FRG1
P42025,141,141_P42025,Beta-centractin,ACTR1B
P61163,141,141_P61163,Alpha-centractin,ACTR1A
Q14203,141,141_Q14203,Dynactin subunit 1,DCTN1
P11216,142,142_P11216,"""Glycogen phosphorylase, brain form""",PYGB
P23381,142,142_P23381,"""Tryptophan--tRNA ligase, cytoplasmic""",WARS
Q14166,142,142_Q14166,Tubulin--tyrosine ligase-like protein 12,TTLL12
P31939,143,143_P31939,Bifunctional purine biosynthesis protein PURH,ATIC
Q13564,143,143_Q13564,NEDD8-activating enzyme E1 regulatory subunit,NAE1
Q8TBC4,143,143_Q8TBC4,NEDD8-activating enzyme E1 catalytic subunit,UBA3
Q13409,144,144_Q13409,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2
Q14204,144,144_Q14204,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1
Q9Y6G9,144,144_Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1
P11940,145,145_P11940,Polyadenylate-binding protein 1,PABPC1
P50453,145,145_P50453,Serpin B9,SERPINB9
Q13310,145,145_Q13310,Polyadenylate-binding protein 4,PABPC4
P26358,146,146_P26358,DNA (cytosine-5)-methyltransferase 1,DNMT1
Q13283,146,146_Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1
Q9BY44,146,146_Q9BY44,Eukaryotic translation initiation factor 2A,EIF2A
P20042,147,147_P20042,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2
P41091,147,147_P41091,Eukaryotic translation initiation factor 2 subunit 3,EIF2S3
Q13144,147,147_Q13144,Translation initiation factor eIF-2B subunit epsilon,EIF2B5
P09960,148,148_P09960,Leukotriene A-4 hydrolase,LTA4H
P55809,148,148_P55809,"""Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial""",OXCT1
Q13126,148,148_Q13126,S-methyl-5'-thioadenosine phosphorylase,MTAP
Q12769,149,149_Q12769,Nuclear pore complex protein Nup160,NUP160
Q3ZCQ8,149,149_Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50,TIMM50
Q8WUM0,149,149_Q8WUM0,Nuclear pore complex protein Nup133,NUP133
O15143,15,15_O15143,Actin-related protein 2/3 complex subunit 1B,ARPC1B
O15144,15,15_O15144,Actin-related protein 2/3 complex subunit 2,ARPC2
O15145,15,15_O15145,Actin-related protein 2/3 complex subunit 3,ARPC3
O15511,15,15_O15511,Actin-related protein 2/3 complex subunit 5,ARPC5
P59998,15,15_P59998,Actin-related protein 2/3 complex subunit 4,ARPC4
P61158,15,15_P61158,Actin-related protein 3,ACTR3
P61160,15,15_P61160,Actin-related protein 2,ACTR2
O43747,150,150_O43747,AP-1 complex subunit gamma-1,AP1G1
Q10567,150,150_Q10567,AP-1 complex subunit beta-1,AP1B1
Q9BXS5,150,150_Q9BXS5,AP-1 complex subunit mu-1,AP1M1
Q09028,151,151_Q09028,Histone-binding protein RBBP4,RBBP4
Q16576,151,151_Q16576,Histone-binding protein RBBP7,RBBP7
Q92769,151,151_Q92769,Histone deacetylase 2,HDAC2
Q05655,152,152_Q05655,Protein kinase C delta type,PRKCD
Q8N392,152,152_Q8N392,Rho GTPase-activating protein 18,ARHGAP18
Q96BN8,152,152_Q96BN8,Ubiquitin thioesterase otulin,OTULIN
P61981,153,153_P61981,14-3-3 protein gamma,YWHAG
Q04917,153,153_Q04917,14-3-3 protein eta,YWHAH
Q16543,153,153_Q16543,Hsp90 co-chaperone Cdc37,CDC37
P43034,154,154_P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,PAFAH1B1
Q04323,154,154_Q04323,UBX domain-containing protein 1,UBXN1
Q9NQG5,154,154_Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B
P41240,155,155_P41240,Tyrosine-protein kinase CSK,CSK
Q02750,155,155_Q02750,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1
Q9NTK5,155,155_Q9NTK5,Obg-like ATPase 1,OLA1
P60983,156,156_P60983,Glia maturation factor beta,GMFB
Q00535,156,156_Q00535,Cyclin-dependent-like kinase 5,CDK5
Q9HD15,156,156_Q9HD15,Steroid receptor RNA activator 1,SRA1
P00505,157,157_P00505,"""Aspartate aminotransferase, mitochondrial""",GOT2
P60174,157,157_P60174,Triosephosphate isomerase,TPI1
P78417,157,157_P78417,Glutathione S-transferase omega-1,GSTO1
P27348,158,158_P27348,14-3-3 protein theta,YWHAQ
P62258,158,158_P62258,14-3-3 protein epsilon,YWHAE
P63104,158,158_P63104,14-3-3 protein zeta/delta,YWHAZ
P46779,159,159_P46779,60S ribosomal protein L28,RPL28
P62891|Q59GN2,159,159_P62891|Q59GN2,,RPL39P5
P04040,16,16_P04040,Catalase,CAT
P05089,16,16_P05089,Arginase-1,ARG1
P22735,16,16_P22735,Protein-glutamine gamma-glutamyltransferase K,TGM1
Q08188,16,16_Q08188,Protein-glutamine gamma-glutamyltransferase E,TGM3
Q08554,16,16_Q08554,Desmocollin-1,DSC1
Q16610,16,16_Q16610,Extracellular matrix protein 1,ECM1
Q96P63,16,16_Q96P63,Serpin B12,SERPINB12
P62750,160,160_P62750,60S ribosomal protein L23a,RPL23A
P62847,160,160_P62847,40S ribosomal protein S24,RPS24
P62861,160,160_P62861,40S ribosomal protein S30,FAU
P62820,161,161_P62820,Ras-related protein Rab-1A,RAB1A
Q92544,161,161_Q92544,Transmembrane 9 superfamily member 4,TM9SF4
Q9NP72,161,161_Q9NP72,Ras-related protein Rab-18,RAB18
P46781,162,162_P46781,40S ribosomal protein S9,RPS9
P62269,162,162_P62269,40S ribosomal protein S18,RPS18
P62277,162,162_P62277,40S ribosomal protein S13,RPS13
P18621,163,163_P18621,60S ribosomal protein L17,RPL17
P62266,163,163_P62266,40S ribosomal protein S23,RPS23
P62854,163,163_P62854,40S ribosomal protein S26,RPS26
P46778,164,164_P46778,60S ribosomal protein L21,RPL21
P61313,164,164_P61313,60S ribosomal protein L15,RPL15
Q07020,164,164_Q07020,60S ribosomal protein L18,RPL18
P10144,165,165_P10144,Granzyme B,GZMB
P23396,165,165_P23396,40S ribosomal protein S3,RPS3
P60866,165,165_P60866,40S ribosomal protein S20,RPS20
P19105|O14950,166,166_P19105|O14950,,
P60660,166,166_P60660,Myosin light polypeptide 6,MYL6
P54727,167,167_P54727,UV excision repair protein RAD23 homolog B,RAD23B
Q14738,167,167_Q14738,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,PPP2R5D
Q92747,167,167_Q92747,Actin-related protein 2/3 complex subunit 1A,ARPC1A
P31751,168,168_P31751,RAC-beta serine/threonine-protein kinase,AKT2
P52566,168,168_P52566,Rho GDP-dissociation inhibitor 2,ARHGDIB
Q96FV2,168,168_Q96FV2,Secernin-2,SCRN2
P13667,169,169_P13667,Protein disulfide-isomerase A4,PDIA4
P20290,169,169_P20290,Transcription factor BTF3,BTF3
P51858,169,169_P51858,Hepatoma-derived growth factor,HDGF
P01024,17,17_P01024,Complement C3,C3
P01620|P01622|P01623|P04206,17,17_P01620|P01622|P01623|P04206,,IGKV3-20
P01766|P01777,17,17_P01766|P01777,,IGHV3-23
P43307,170,170_P43307,Translocon-associated protein subunit alpha,SSR1
P51571,170,170_P51571,Translocon-associated protein subunit delta,SSR4
P61009,170,170_P61009,Signal peptidase complex subunit 3,SPCS3
P50851,171,171_P50851,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA
Q13085,171,171_Q13085,Acetyl-CoA carboxylase 1,ACACA
Q8TEQ6,171,171_Q8TEQ6,Gem-associated protein 5,GEMIN5
P47755,172,172_P47755,F-actin-capping protein subunit alpha-2,CAPZA2
P47756,172,172_P47756,F-actin-capping protein subunit beta,CAPZB
P52907,172,172_P52907,F-actin-capping protein subunit alpha-1,CAPZA1
P46736,173,173_P46736,Lys-63-specific deubiquitinase BRCC36,BRCC3
Q15018,173,173_Q15018,BRISC complex subunit Abro1,FAM175B
Q9NXR7,173,173_Q9NXR7,BRCA1-A complex subunit BRE,BRE
P46109,174,174_P46109,Crk-like protein,CRKL
Q96FS4,174,174_Q96FS4,Signal-induced proliferation-associated protein 1,SIPA1
Q96JY6,174,174_Q96JY6,PDZ and LIM domain protein 2,PDLIM2
P35813,175,175_P35813,Protein phosphatase 1A,PPM1A
P56537,175,175_P56537,Eukaryotic translation initiation factor 6,EIF6
Q14847,175,175_Q14847,LIM and SH3 domain protein 1,LASP1
P22695,176,176_P22695,"""Cytochrome b-c1 complex subunit 2, mitochondrial""",UQCRC2
P28331,176,176_P28331,"""NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial""",NDUFS1
P31930,176,176_P31930,"""Cytochrome b-c1 complex subunit 1, mitochondrial""",UQCRC1
O60488,177,177_O60488,Long-chain-fatty-acid--CoA ligase 4,ACSL4
P31689,177,177_P31689,DnaJ homolog subfamily A member 1,DNAJA1
Q8NE71,177,177_Q8NE71,ATP-binding cassette sub-family F member 1,ABCF1
P30419,178,178_P30419,Glycylpeptide N-tetradecanoyltransferase 1,NMT1
Q14005,178,178_Q14005,Pro-interleukin-16,IL16
Q8NHV1,178,178_Q8NHV1,GTPase IMAP family member 7,GIMAP7
P30084,179,179_P30084,"""Enoyl-CoA hydratase, mitochondrial""",ECHS1
Q08257,179,179_Q08257,Quinone oxidoreductase,CRYZ
Q9P2R7,179,179_Q9P2R7,"""Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial""",SUCLA2
O96008,18,18_O96008,Mitochondrial import receptor subunit TOM40 homolog,TOMM40
P53007,18,18_P53007,"""Tricarboxylate transport protein, mitochondrial""",SLC25A1
Q92621,18,18_Q92621,Nuclear pore complex protein Nup205,NUP205
Q96TA2,18,18_Q96TA2,ATP-dependent zinc metalloprotease YME1L1,YME1L1
Q9NUQ2,18,18_Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,AGPAT5
Q9Y4W6,18,18_Q9Y4W6,AFG3-like protein 2,AFG3L2
P09211,180,180_P09211,Glutathione S-transferase P,GSTP1
P30041,180,180_P30041,Peroxiredoxin-6,PRDX6
Q9Y5Z4,180,180_Q9Y5Z4,Heme-binding protein 2,HEBP2
O00743,181,181_O00743,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6C
P27708,181,181_P27708,CAD protein,CAD
Q8N8A2,181,181_Q8N8A2,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,ANKRD44
P08621,182,182_P08621,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70
P26368,182,182_P26368,Splicing factor U2AF 65 kDa subunit,U2AF2
Q01081,182,182_Q01081,Splicing factor U2AF 35 kDa subunit,U2AF1
P25098,183,183_P25098,Beta-adrenergic receptor kinase 1,ADRBK1
P42785,183,183_P42785,Lysosomal Pro-X carboxypeptidase,PRCP
P45954,183,183_P45954,"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial""",ACADSB
P23743,184,184_P23743,Diacylglycerol kinase alpha,DGKA
P28482,184,184_P28482,Mitogen-activated protein kinase 1,MAPK1
Q04637,184,184_Q04637,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1
P23246,185,185_P23246,"""Splicing factor, proline- and glutamine-rich""",SFPQ
Q15233,185,185_Q15233,Non-POU domain-containing octamer-binding protein,NONO
Q9Y5A9,185,185_Q9Y5A9,YTH domain-containing family protein 2,YTHDF2
O95817,186,186_O95817,BAG family molecular chaperone regulator 3,BAG3
P22234,186,186_P22234,Multifunctional protein ADE2,PAICS
Q86X55,186,186_Q86X55,Histone-arginine methyltransferase CARM1,CARM1
P22102,187,187_P22102,Trifunctional purine biosynthetic protein adenosine-3,GART
P43246,187,187_P43246,DNA mismatch repair protein Msh2,MSH2
Q8IUI8,187,187_Q8IUI8,Cytokine receptor-like factor 3,CRLF3
P22033,188,188_P22033,"""Methylmalonyl-CoA mutase, mitochondrial""",MUT
P49588,188,188_P49588,"""Alanine--tRNA ligase, cytoplasmic""",AARS
Q14157,188,188_Q14157,Ubiquitin-associated protein 2-like,UBAP2L
P21281,189,189_P21281,"""V-type proton ATPase subunit B, brain isoform""",ATP6V1B2
P36543,189,189_P36543,V-type proton ATPase subunit E 1,ATP6V1E1
P38606,189,189_P38606,V-type proton ATPase catalytic subunit A,ATP6V1A
Q8N6H7,19,19_Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2
Q96HY7,19,19_Q96HY7,"""Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial""",DHTKD1
Q9HBI0,19,19_Q9HBI0,Gamma-parvin,PARVG
Q9NP79,19,19_Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1
Q9NQG5,19,19_Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B
